CP,NM
17480,Roses
17860,Sant Joan de les Abadesses
17246,Santa Cristina d'Aro
17857,Sant Joan les Fonts
17134,"Tallada d'Empordà, la"
17130,Torroella de Montgrí
17257,Torroella de Montgrí
17320,Tossa de Mar
17176,"Vall d'en Bas, la"
17180,Vilablareix
17406,Viladrau
17469,Vilamalla
17244,"Cruïlles, Monells i Sant Sadurní de l'Heura"
17111,Forallac
25310,Agramunt
25125,Alguaire
25100,Almacelles
25110,Alpicat
25140,Arbeca
25730,Artesa de Segre
25617,"Sentiu de Sió, la"
25182,Aitona
25600,Balaguer
25400,"Borges Blanques, les"
25334,Castellserà
25200,Cervera
25214,Cervera
25214,Estaràs
25241,Golmés
25716,Gósol
25210,Guissona
25282,Guixers
25001,Lleida
25002,Lleida
25003,Lleida
25004,Lleida
25005,Lleida
25006,Lleida
25007,Lleida
25008,Lleida
25196,Lleida
25198,Lleida
25199,Lleida
25240,Linyola
25286,Navès
25790,Odèn
25790,Oliana
25280,Olius
25286,Olius
25214,"Oluges, les"
25518,Conca de Dalt
25240,Penelles
25790,Peramola
25286,Pinell de Solsonès
25500,"Pobla de Segur, la"
25740,Ponts
25520,"Pont de Suert, el"
25124,Rosselló
25282,Sant Llorenç de Morunys
25700,"Seu d'Urgell, la"
25222,Sidamon
25280,Solsona
25560,Sort
25173,Sudanell
8717,Talavera
25300,Tàrrega
25110,Torrefarrera
25182,Torres de Segre
25620,Tremp
25617,Vallfogona de Balaguer
25530,Vielha e Mijaran
43716,Albinyana
43530,Alcanar
43813,Alió
43893,Altafulla
43870,Amposta
43791,Ascó
43747,Benissanet
43350,"Borges del Camp, les"
43820,Calafell
43882,Calafell
43850,Cambrils
43392,Castellvell del Camp
43881,Cunit
43781,"Fatarella, la"
43750,Flix
43596,Horta de Sant Joan
43878,Masdenverge
43747,Miravet
43400,Montblanc
43340,Montbrió del Camp
43892,Mont-roig del Camp
43740,Móra d'Ebre
43201,Reus
43202,Reus
43203,Reus
43204,Reus
43205,Reus
43206,Reus
43330,Riudoms
43420,Santa Coloma de Queralt
43001,Tarragona
43002,Tarragona
43003,Tarragona
43004,Tarragona
43005,Tarragona
43006,Tarragona
43007,Tarragona
43746,Tivissa
43500,Tortosa
43510,Tortosa
43897,Tortosa
43550,Ulldecona
43800,Valls
43813,Valls
43890,Vandellòs i l'Hospitalet de l'Infant
43700,"Vendrell, el"
43206,Vila-seca
43430,Vimbodí i Poblet
43391,Vinyols i els Arcs
43580,Deltebre
43840,Salou
